OS,Device status,Name,Client security status,Patch status,Available patches count,Customer,Device Group,Logged in user,Owner,Last Activity,OS name,OS version,CCS version,CCC version,External IP,Internal IP,AD\LDAP,Domain\Workgroup,Model,Processor,Serial Number,System Model,System Manufacturer,Ownership Type,Registered,Local Time Zone,Service Pack,Reboot Time,Reboot Reason,CPU usage - %,CPU frequency,RAM usage - %,RAM usage - MB,Total RAM,Network Usage,Disk free - GB,Disk used - GB,Security Profiles
Windows,Online,EricHsu-5310,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Eric_Hsu,ethan,2022/02/14 11:25:20 AM,Microsoft Windows 10 專業版 (x64),10.0.19044,12.4.0.8311,6.37.38821.20070,,192.168.5.69,192.168.1.11,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,5294YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2022/02/14 10:32:10 AM,未設定,N/A,2022/02/14 10:32:35 AM,The process C:\Program Files (x86)\COMODO\Comodo ITSM\ITSMService.exe (ERICHSU-5310) has initiated the 重新啟動 of computer ERICHSU-5310 on behalf of user NT AUTHORITY\SYSTEM for the following reason: 應用程式: 維護 (計畫之中).  Reason Code: 0x80040001.  Shutdown Type: 重新啟動.  Comment: .,0,N/A,N/A,N/A,N/A,"Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",N/A,N/A,otsuka_no_fw
Windows,Offline,Jason_liu,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Jason_Liu,ethan,2022/02/14 11:14:54 AM,Microsoft Windows 11 專業版 (x64),10.0.22000,12.4.0.8311,6.37.38821.20070,114.46.179.54,"10.30.30.5,192.168.0.174",192.168.1.11,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,H194YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2022/02/09 01:44:44 PM,UTC +08:00,N/A,2022/02/14 10:59:42 AM,‎2022/‎2/‎11 上 下午 02:56:55 的系統上次發生意外的關機。.,0,2208,38.91,3064,7875,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:179.4,C:62.2,otsuka_no_fw
Windows,Online,Tyron__lee,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Tyron_Lee,ethan,2022/02/14 11:23:46 AM,Microsoft Windows 11 專業版 (x64),10.0.22000,12.4.0.8311,6.37.38821.20070,60.251.177.151,192.168.6.59,192.168.1.10,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,1594YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2022/02/09 10:36:16 AM,UTC +08:00,N/A,2022/02/11 11:08:49 PM,‎2022/‎2/‎11 上 下午 04:55:01 的系統上次發生意外的關機。.,11,2208,21.76,3496,16067,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Realtek USB GbE Family Controller - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:107.1|D:180.7|E:0,C:128.6|D:69.3|E:0,otsuka_no_fw
Windows,Offline,Tony-760,安全,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,OTSUKATW\Tony_Jian,ethan,2022/01/27 02:52:21 PM,Microsoft Windows 10 專業版 (x64),10.0.17134,12.4.0.8311,6.37.38821.20070,118.163.114.187,192.168.113.59,192.168.111.2,otsukatw.corp,OptiPlex 760                 ,Intel(R) Core(TM)2 Duo CPU     E7300  @ 2.66GHz,8KP4Z1S,OptiPlex 760                 ,Dell Inc.,未指定,2022/01/27 02:22:40 PM,UTC +08:00,N/A,2022/01/27 02:47:27 PM,The process C:\WINDOWS\system32\MusNotificationUx.exe (TONY-760) has initiated the 重新啟動 of computer TONY-760 on behalf of user OTSUKATW\Tony_Jian for the following reason: 作業系統: Service Pack (計劃之中).  Reason Code: 0x80020010.  Shutdown Type: 重新啟動.  Comment: .,100,2667,49.67,983,1979,"Intel(R) 82567LM-3 Gigabit Network Connection - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:154.8|D:0,C:73.5|D:0,otsuka_no_fw
Windows,Offline,jamie_lee,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Jamie_Lee,ethan,2022/02/13 11:22:16 PM,Microsoft Windows 10 專業版 (x64),10.0.19042,12.4.0.8311,6.43.41148.21120,59.120.64.225,"10.30.30.5,192.168.0.163",192.168.1.11,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,F294YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2022/01/21 10:43:04 AM,UTC +08:00,N/A,2022/01/28 08:45:31 PM,The process C:\Windows\System32\RuntimeBroker.exe (JAMIE_LEE) has initiated the 電源關閉 of computer JAMIE_LEE on behalf of user OTSUKATW\Jamie_Lee for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,39,2208,47.97,3778,7875,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:196.5,C:46.2,otsuka_no_fw
Windows,Offline,Ray_Huang,安全,提供非關鍵修補程式,3,Default Customer,Default Group - Default Customer,N/A,ethan,2022/02/14 10:19:02 AM,Microsoft Windows 10 專業版 (x64),10.0.19042,12.4.0.8311,6.43.41148.21120,118.163.125.1,192.168.0.129,192.168.1.11,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,3494YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2021/12/23 03:18:20 PM,UTC +08:00,N/A,2022/02/10 04:31:10 PM,The process C:\Windows\System32\RuntimeBroker.exe (RAY_HUANG) has initiated the 重新啟動 of computer RAY_HUANG on behalf of user OTSUKATW\ray_huang for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 重新啟動.  Comment: .,97,2208,49.61,3907,7875,"Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:179.3,C:62.1,otsuka_no_fw
Windows,Online,YanLee-5090,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Yan_Lee,ethan,2022/02/14 11:27:33 AM,Microsoft Windows 10 專業版 (x64),10.0.19042,12.4.0.8311,6.42.40901.21091,60.250.52.83,192.168.111.140,192.168.111.2,otsukatw.corp,OptiPlex 5090,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz,BKH7YJ3,OptiPlex 5090,Dell Inc.,未指定,2021/12/03 02:05:33 PM,UTC +08:00,N/A,2022/01/26 02:33:09 PM,The process C:\Windows\System32\RuntimeBroker.exe (YANLEE-5090) has initiated the 電源關閉 of computer YANLEE-5090 on behalf of user OTSUKATW\Yan_Lee for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,8,3192,29.4,2330,7924,"Intel(R) Ethernet Connection (14) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:159.1|D:912.5,C:82.4|D:41.2,otsuka_no_fw
Windows,Offline,Jammie-5310,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Jamie_Lee,ethan,2022/01/20 03:58:11 PM,Microsoft Windows 10 專業版 (x64),10.0.19042,12.4.0.8311,6.43.41148.21120,59.120.64.225,192.168.5.109,192.168.1.11,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,F294YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2021/11/30 04:48:08 PM,UTC +08:00,N/A,2022/01/19 04:05:30 PM,The process systempropertiescomputername.exe has initiated the 重新啟動 of computer JAMMIE-5310 on behalf of user OTSUKATW\Jamie_Lee for the following reason: 作業系統: 重新設定 (計劃之中).  Reason Code: 0x84020004.  Shutdown Type: 重新啟動.  Comment: .,1,2208,66.43,5231,7875,"Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:166.7,C:76.1,otsuka_no_fw
Windows,Offline,ViVi-5300,安全,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,OTSUKATW\Vivi_Chang,ethan,2022/02/14 12:40:08 AM,Microsoft Windows 10 專業版 (x64),10.0.19043,12.4.0.8311,6.43.41148.21120,61.61.221.192,"10.30.30.12,172.20.10.2",192.168.1.11,otsukatw.corp,Latitude 5300 2-in-1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,GGVJHT2,Latitude 5300 2-in-1,Dell Inc.,未指定,2021/11/30 11:32:54 AM,UTC +08:00,N/A,2022/02/10 12:07:06 AM,The process C:\Windows\System32\RuntimeBroker.exe (VIVI-5300) has initiated the 電源關閉 of computer VIVI-5300 on behalf of user OTSUKATW\Vivi_Chang for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,13,1896,42.53,3390,7970,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:126.2|D:302.1,C:57.8|D:0.5,otsuka_no_fw
Windows,Offline,Joanna-5300,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Joanna_Chiang,ethan,2022/02/14 09:39:12 AM,Microsoft Windows 10 專業版 (x64),10.0.19043,12.4.0.8311,6.43.41148.21120,203.204.146.91,"10.30.30.7,192.168.246.152",192.168.1.11,otsukatw.corp,Latitude 5300 2-in-1,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,6ZVJNT2,Latitude 5300 2-in-1,Dell Inc.,未指定,2021/11/30 10:18:05 AM,UTC +08:00,N/A,N/A,N/A,39,1800,43.32,3457,7980,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet SSL VPN Virtual Ethernet Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:191.3,C:51.1,otsuka_no_fw
