OS,Device status,Name,Client security status,Patch status,Available patches count,Customer,Device Group,Last logged in user,Owner,Last Activity,OS name,OS version,CCS version,CCC version,External IP,Internal IP,AD\LDAP,Domain\Workgroup,Model,Processor,Serial Number,System Model,System Manufacturer,Ownership Type,Registered,Local Time Zone,Service Pack,Reboot Time,Reboot Reason,CPU usage - %,CPU frequency,RAM usage - %,RAM usage - MB,Total RAM,Network Usage,Disk free - GB,Disk used - GB,Security Profiles,Tags,Notes
Windows,Online,Dell-Bill_Cheng,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\bill_cheng,ethan,2022/12/19 10:13:56 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44151.22110,111.249.34.45,192.168.121.99,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,HLZ33T3,Latitude 5430,Dell Inc.,未指定,2022/12/15 07:58:50 PM,UTC +08:00,N/A,2022/12/16 07:47:29 PM,The process C:\Windows\System32\RuntimeBroker.exe (DELL-BILL_CHENG) has initiated the 電源關閉 of computer DELL-BILL_CHENG on behalf of user OTSUKATW\bill_cheng for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,15,1300,39.09,12687,32452,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:138|D:130.8|E:2274,C:97.4|D:119.2|E:1541.3,otsuka_no_fw,,
Windows,Offline,Dell-joe_chen,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,N/A,ethan,2022/12/15 09:29:49 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,6.37.38821.20070,60.250.52.83,192.168.121.62,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,3PRT1T3,Latitude 5430,Dell Inc.,未指定,2022/12/14 05:24:35 PM,UTC +08:00,N/A,2022/12/14 05:38:18 PM,The process C:\Windows\System32\RuntimeBroker.exe (DELL-JOE_CHEN) has initiated the 電源關閉 of computer DELL-JOE_CHEN on behalf of user OTSUKATW\joe_chen for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,8,1300,26.44,4248,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:180.2|D:242.4,C:55.2|D:7.6,otsuka_no_fw,,
Windows,Offline,LinKuo,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\LinKuo,ethan,2022/12/19 08:27:31 AM,Microsoft Windows 10 專業版 (x64),10.0.19044,12.4.0.8311,7.3.44151.22110,118.163.114.187,192.168.116.137,192.168.111.2,otsukatw.corp,Latitude E6220,Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,864GGT1,Latitude E6220,Dell Inc.,未指定,2022/12/14 01:16:01 PM,UTC +08:00,N/A,2022/12/19 12:11:50 AM,The process C:\Windows\system32\winlogon.exe (LINKUO) has initiated the 電源關閉 of computer LINKUO on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 電源關閉.  Comment: .,2,2501,18.77,1515,8072,"Intel(R) 82579LM Gigabit Network Connection - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Centrino(R) Advanced-N 6205  - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:419.8,C:56.5,otsuka_no_fw,,
Windows,Offline,Sam_Chen,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\sam_chen,ethan,2022/12/19 08:47:27 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,6.37.38821.20070,60.250.52.83,192.168.114.118,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,C9Z33T3,Latitude 5430,Dell Inc.,未指定,2022/12/08 12:56:33 PM,UTC +08:00,N/A,2022/12/08 02:55:50 PM,The process C:\Windows\System32\RuntimeBroker.exe (SAM_CHEN) has initiated the 電源關閉 of computer SAM_CHEN on behalf of user OTSUKATW\sam_chen for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,6,1300,26.94,4329,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:108.6|D:236.6,C:126.8|D:13.4,otsuka_no_fw,,
Windows,Offline,Andy_Chang,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\Andy_Chang,ethan,2022/12/19 09:56:36 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44151.22110,60.250.52.83,192.168.121.88,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,9RRT1T3,Latitude 5430,Dell Inc.,未指定,2022/12/03 09:36:00 AM,UTC +08:00,N/A,N/A,N/A,15,1300,31.27,5024,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:147.8|D:207.6|E:9.1,C:87.7|D:42.4|E:944.8,otsuka_no_fw,,
Windows,Offline,Dell-Ray,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\Ray_Song,ethan,2022/12/08 10:29:39 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,6.37.38821.20070,60.250.52.83,172.20.10.9,192.168.111.2,otsukatw.corp,Latitude 3330,11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz,JJ2VVL3,Latitude 3330,Dell Inc.,未指定,2022/11/16 12:37:06 PM,UTC +08:00,N/A,2022/12/08 09:40:26 PM,‎2022/‎12/‎7 上 下午 04:33:23 的系統上次發生意外的關機。.,13,2496,72.86,5766,7914,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:191.4|D:199.9|E:353.6,C:94.2|D:0.1|E:117.6,otsuka_no_fw,,
Windows,Online,Producion-2,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Production,ethan,2022/12/19 10:06:15 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44151.22110,118.163.114.187,192.168.114.51,192.168.111.2,otsukatw.corp,OptiPlex 5000,12th Gen Intel(R) Core(TM) i5-12500,4PRSYR3,OptiPlex 5000,Dell Inc.,未指定,2022/11/10 03:25:54 PM,UTC +08:00,N/A,2022/12/17 04:14:57 PM,The process C:\Windows\System32\RuntimeBroker.exe (PRODUCION-2) has initiated the 電源關閉 of computer PRODUCION-2 on behalf of user OTSUKATW\Production for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,9,3000,34.95,2754,7880,"Intel(R) Ethernet Connection (17) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:68.6|D:60.8,C:92.9|D:19.2,otsuka_no_fw,,
Windows,Online,Scott-dell-5310,未安裝用戶端安全性,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\Scott_Liu,Richardsuma,2022/12/19 10:12:28 AM,Microsoft Windows 11 專業版 (x64),10.0.22621,,7.3.44151.22110,114.32.163.64,192.168.104.116,192.168.1.10,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,6594YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2022/11/03 09:04:59 AM,UTC +08:00,N/A,2022/12/15 04:21:29 AM,The process C:\Windows\uus\AMD64\MoUsoCoreWorker.exe (SCOTT-DELL-5310) has initiated the 重新啟動 of computer SCOTT-DELL-5310 on behalf of user NT AUTHORITY\SYSTEM for the following reason: 作業系統: Service Pack (計劃之中).  Reason Code: 0x80020010.  Shutdown Type: 重新啟動.  Comment: .,10,2208,22.8,3668,16087,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:223.8,C:82.6,otsuka_no_fw,,
Windows,Offline,yihsien_chen,安全,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,N/A,ethan,2022/12/16 04:32:09 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44151.22110,60.250.52.83,192.168.121.116,192.168.111.2,otsukatw.corp,Latitude 3330,11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz,4K2VVL3,Latitude 3330,Dell Inc.,未指定,2022/11/01 01:30:52 PM,UTC +08:00,N/A,2022/12/16 12:45:39 PM,The process C:\Windows\System32\RuntimeBroker.exe (YIHSIEN_CHEN) has initiated the 電源關閉 of computer YIHSIEN_CHEN on behalf of user OTSUKATW\Yihsien_Chen for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,52,2496,52.44,4150,7914,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:197|D:189.3,C:88.6|D:10.7,otsuka_no_fw,,
Windows,Offline,Connie_yap,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Connie_Yap,ethan,2022/12/16 12:44:57 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,6.37.38821.20070,,192.168.121.77,192.168.111.2,otsukatw.corp,Latitude 3330,11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz,3K2VVL3,Latitude 3330,Dell Inc.,未指定,2022/11/01 11:10:52 AM,未設定,N/A,2022/12/15 08:20:47 AM,The process C:\Windows\System32\RuntimeBroker.exe (CONNIE_YAP) has initiated the 電源關閉 of computer CONNIE_YAP on behalf of user OTSUKATW\Connie_Yap for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,0,N/A,N/A,N/A,N/A,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",N/A,N/A,otsuka_no_fw,,
