OS,Device status,Name,Client security status,Patch status,Available patches count,Customer,Device Group,Last logged in user,Owner,Last Activity,OS name,OS version,CCS version,CCC version,External IP,Internal IP,AD\LDAP,Domain\Workgroup,Model,Processor,Serial Number,System Model,System Manufacturer,Ownership Type,Registered,Local Time Zone,Service Pack,Reboot Time,Reboot Reason,CPU usage - %,CPU frequency,RAM usage - %,RAM usage - MB,Total RAM,Network Usage,Disk free - GB,Disk used - GB,Security Profiles,Tags,Notes
Windows,Offline,Julia_Chen,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Julia_Chen,ethan,2023/06/17 02:19:11 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.10.0.8697,7.3.44980.22120,61.216.145.10,192.168.5.51,192.168.1.11,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,7J58WT3,Latitude 5430,Dell Inc.,未指定,2023/06/17 01:15:25 PM,UTC +08:00,N/A,2023/06/17 01:16:01 PM,The process C:\Program Files (x86)\COMODO\Endpoint Manager\ITSMService.exe (JULIA_CHEN) has initiated the 重新啟動 of computer JULIA_CHEN on behalf of user NT AUTHORITY\SYSTEM for the following reason: 應用程式: 維護 (計畫之中).  Reason Code: 0x80040001.  Shutdown Type: 重新啟動.  Comment: .,28,1300,44.11,7087,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:389.8|D:7.6,C:95.5|D:25.2,otsuka_no_fw,,
Windows,Online,Chaya_Hung,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Chaya_Hung,ethan,2023/06/20 12:13:22 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.10.0.8697,7.3.44980.22120,60.250.52.83,192.168.121.76,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,40C8WT3,Latitude 5430,Dell Inc.,未指定,2023/06/14 11:17:45 AM,UTC +08:00,N/A,2023/06/14 04:32:48 PM,The process C:\Windows\System32\RuntimeBroker.exe (CHAYA_HUNG) has initiated the 電源關閉 of computer CHAYA_HUNG on behalf of user OTSUKATW\Chaya_Hung for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,1,1300,43.89,7053,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:126.6|D:237.3,C:108.7|D:12.7,otsuka_no_fw,,
Windows,Online,Serena_Lin,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Serena_Lin,ethan,2023/06/20 12:12:19 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.10.0.8697,7.3.44980.22120,61.216.145.10,192.168.6.82,192.168.1.10,otsukatw.corp,OptiPlex 7050,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,328X6P2,OptiPlex 7050,Dell Inc.,未指定,2023/06/07 04:11:55 PM,UTC +08:00,N/A,2023/06/16 05:51:53 PM,The process C:\Windows\system32\winlogon.exe (SERENA_LIN) has initiated the 關機 of computer SERENA_LIN on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 關機.  Comment: .,91,3192,15.74,2557,16247,"Intel(R) Ethernet Connection (5) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:183.1|D:883.3|E:0,C:60.4|D:70.6|E:0,otsuka_no_fw,,
Windows,Online,Dell_OYJ,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\OYJ,ethan,2023/06/20 12:12:56 PM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,7.3.44980.22120,60.250.52.83,192.168.114.156,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,GYZ2TT3,Latitude 5430,Dell Inc.,未指定,2023/06/07 11:02:15 AM,UTC +08:00,N/A,2023/06/14 05:27:21 PM,The process C:\WINDOWS\system32\winlogon.exe (DELL_OYJ) has initiated the 關機 of computer DELL_OYJ on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 關機.  Comment: .,9,1300,30.2,4853,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:147.3|D:241.8,C:88|D:8.2,otsuka_no_fw,,
Windows,Online,Rex_Chung,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Rex_Chung,ethan,2023/06/20 12:12:01 PM,Microsoft Windows 11 專業版 (x64),10.0.22621,12.10.0.8697,7.3.44980.22120,60.250.52.83,192.168.114.110,192.168.111.2,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,6GYT1T3,Latitude 5430,Dell Inc.,未指定,2023/05/22 04:18:32 PM,UTC +08:00,N/A,2023/06/19 10:01:27 PM,The process C:\Windows\System32\RuntimeBroker.exe (REX_CHUNG) has initiated the 電源關閉 of computer REX_CHUNG on behalf of user OTSUKATW\Rex_Chung for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,6,1300,27.74,4458,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:60|D:236.7,C:175.5|D:13.3,otsuka_no_fw,,
Windows,Offline,Dell_Patricia,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\patricia,ethan,2023/05/14 03:17:45 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.10.0.8697,7.3.44980.22120,61.216.145.10,192.168.5.129,192.168.1.10,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,JSZ7WT3,Latitude 5430,Dell Inc.,未指定,2023/05/08 03:19:38 PM,UTC +08:00,N/A,2023/05/10 01:56:01 AM,The process C:\WINDOWS\system32\svchost.exe (DELL_PATRICIA) has initiated the 重新啟動 of computer DELL_PATRICIA on behalf of user NT AUTHORITY\SYSTEM for the following reason: 作業系統: Service Pack (計劃之中).  Reason Code: 0x80020010.  Shutdown Type: 重新啟動.  Comment: .,22,1300,48.76,7835,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:191.1|D:133.8|E:116.6,C:94.2|D:66.2|E:1.6,otsuka_no_fw,,
Windows,Offline,AutoCAD_2014,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,AUTOCAD_2014\USER,ethan,2023/06/19 03:54:10 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44980.22120,60.250.52.83,192.168.2.111,N/A,WORKGROUP,30FMS01V00,12th Gen Intel(R) Core(TM) i7-12700,GM03WD4Z,30FMS01V00,LENOVO,未指定,2023/04/26 04:02:25 PM,UTC +08:00,N/A,2023/06/02 12:53:57 PM,The process C:\Windows\System32\RuntimeBroker.exe (AUTOCAD_2014) has initiated the 電源關閉 of computer AUTOCAD_2014 on behalf of user AUTOCAD_2014\USER for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,12,2100,8.39,3411,40634,"Intel(R) Ethernet Connection (17) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:895.1|D:905.9|E:0,C:79.4|D:47.8|E:0,otsuka_no_fw,,
Windows,Online,Donald_Pan,安全,提供非關鍵修補程式,1,Default Customer,Default Group - Default Customer,OTSUKATW\Henry_Ho,ethan,2023/06/20 12:06:46 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44980.22120,61.216.145.10,"192.168.6.61,192.168.5.139",192.168.1.10,otsukatw.corp,Latitude 5430,12th Gen Intel(R) Core(TM) i5-1235U,C5M7WT3,Latitude 5430,Dell Inc.,未指定,2023/04/19 03:11:28 PM,UTC +08:00,N/A,2023/06/14 04:43:07 AM,The process C:\Windows\System32\RuntimeBroker.exe (DONALD_PAN) has initiated the 電源關閉 of computer DONALD_PAN on behalf of user OTSUKATW\Henry_Ho for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,0,1300,28.47,4574,16068,"Intel(R) Ethernet Connection (16) I219-LM - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Intel(R) Wi-Fi 6E AX211 160MHz - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:28.6|D:185,C:256.7|D:15,otsuka_no_fw_for_Donald_Pan_python_powershell放行,,
Windows,Offline,Tim_Chou,安全,提供非關鍵修補程式,2,Default Customer,Default Group - Default Customer,OTSUKATW\Tim_Chou,ethan,2023/05/29 08:52:41 AM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44980.22120,111.251.173.37,192.168.5.64,192.168.1.20,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,C394YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2023/04/18 06:05:07 PM,UTC +08:00,N/A,2023/05/12 04:30:20 PM,The process C:\Windows\System32\RuntimeBroker.exe (TIM_CHOU) has initiated the 電源關閉 of computer TIM_CHOU on behalf of user OTSUKATW\Tim_Chou for the following reason: 其他 (不在計劃之中).  Reason Code: 0x0.  Shutdown Type: 電源關閉.  Comment: .,1,2208,47.3,3725,7875,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:119.6,C:123.9,otsuka_no_fw,,
Windows,Online,Dell_ChunTu,安全,無修補程式可用,0,Default Customer,Default Group - Default Customer,OTSUKATW\Chun_Tu,ethan,2023/06/20 12:03:42 PM,Microsoft Windows 10 專業版 (x64),10.0.19045,12.4.0.8311,7.3.44980.22120,61.216.145.10,192.168.5.92,192.168.1.10,otsukatw.corp,Latitude 5310 2-in-1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,5394YZ2,Latitude 5310 2-in-1,Dell Inc.,未指定,2023/04/18 05:04:08 PM,UTC +08:00,N/A,2023/06/14 05:08:41 PM,The process C:\Windows\system32\winlogon.exe (DELL_CHUNTU) has initiated the 關機 of computer DELL_CHUNTU on behalf of user NT AUTHORITY\SYSTEM for the following reason: 找不到這個原因的標題.  Reason Code: 0x500ff.  Shutdown Type: 關機.  Comment: .,48,2208,22.79,3661,16067,"Bluetooth Device (Personal Area Network) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Fortinet Virtual Ethernet Adapter (NDIS 6.30) - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Realtek USB GbE Family Controller - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Qualcomm QCA61x4A 802.11ac Wireless Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s) | Microsoft Wi-Fi Direct Virtual Adapter - Load 0% speed channel (sent 0 bit/s, received 0 bit/s)",C:35.8|D:70.2,C:85|D:50.6,otsuka_no_fw,,
